"GEOID","P006002","P006003","Dissimilarity_Index"
"600",39049001000,5355,242,0.00503093598858818
"601",39049001110,3054,109,0.00505147097006759
"602",39049001121,6289,364,0.00726434359133345
"603",39049001122,2154,366,0.0036552291567523
"604",39049001200,4409,199,0.00432267825231108
"605",39049001300,5799,453,0.00526573246340869
"606",39049001400,256,1307,0.00716265827366416
"607",39049001500,126,1847,0.00265153983097779
"608",39049001600,542,1069,0.00118349016707283
"609",39049001700,1743,630,0.00317091218085762
"610",39049001810,3265,333,0.00289302783939338
"611",39049001820,2239,206,0.00258679802502462
"612",39049001902,3127,118,0.00306967623665287
"613",39049002100,1676,57,0.00208910235830818
"614",39049002200,1510,298,0.000713990845192174
"615",39049002520,545,2150,0.00216899780401313
"616",39049002600,1071,2322,0.000943874117086838
"617",39049002710,483,1236,0.00101943768746867
"618",39049002750,803,1507,0.00158656496934979
"619",39049002760,1789,1211,0.00149499131718165
"620",39049002770,608,1362,0.000659547761335026
"621",39049003000,2178,829,0.000342930371329963
"622",39049003200,1839,162,0.000439512246665156
"623",39049004300,4699,586,0.00108724925062131
"624",39049004500,4243,850,0.00237661563857712
"625",39049004610,3046,246,0.00351051326308017
"626",39049004620,2070,493,0.00343235364422406
"627",39049004700,2988,1815,7.89980912567353e-05
"628",39049004810,2433,346,0.00869414372909739
"629",39049004820,1903,559,0.00608389566338605
"630",39049004900,4094,1401,0.0040053872994238
"631",39049005000,4282,941,0.00503093598858818
"2329",39049000920,499,1574,0.00503093598858818
"2330",39049001901,1744,114,0.00503093598858818
"2331",39049002000,2911,262,0.00503093598858818
"2332",39049002300,192,1249,0.00503093598858818
"2333",39049002510,426,2326,0.00503093598858818
"2334",39049002730,646,1428,0.00503093598858818
"2335",39049002740,1770,509,0.00503093598858818
"2336",39049002780,1479,923,0.00503093598858818
"2337",39049002800,346,2301,0.00503093598858818
"2338",39049002900,149,2168,0.00503093598858818
"2339",39049003600,283,1173,0.00503093598858818
"2340",39049003700,1083,2241,0.00503093598858818
"2341",39049003800,995,896,0.00503093598858818
"2342",39049004000,1975,845,0.00503093598858818
"2343",39049004200,554,844,0.00503093598858818
